城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2016-11-13,208,重度污染,PM2.5
临汾市,2016-11-14,170,中度污染,PM2.5
临汾市,2016-11-15,162,中度污染,PM2.5
临汾市,2016-11-15,162,中度污染,PM2.5
临汾市,2016-11-16,232,重度污染,PM2.5
临汾市,2016-11-17,349,严重污染,PM2.5
临汾市,2016-11-18,359,严重污染,PM2.5
临汾市,2016-11-19,264,重度污染,PM2.5
临汾市,2016-11-20,258,重度污染,PM2.5
临汾市,2016-11-21,228,重度污染,PM2.5
临汾市,2016-11-22,65,良,PM10
临汾市,2016-11-23,119,轻度污染,PM2.5
临汾市,2016-11-24,220,重度污染,PM2.5
临汾市,2016-11-25,365,严重污染,PM2.5
临汾市,2016-11-26,230,重度污染,PM2.5
临汾市,2016-11-27,240,重度污染,PM2.5
临汾市,2016-11-28,231,重度污染,PM2.5
临汾市,2016-11-29,314,严重污染,PM2.5
临汾市,2016-11-30,291,重度污染,PM2.5
临汾市,2016-12-01,240,重度污染,PM2.5
临汾市,2016-12-02,265,重度污染,PM2.5
临汾市,2016-12-03,295,重度污染,PM2.5
临汾市,2016-12-04,260,重度污染,PM2.5
临汾市,2016-12-05,160,中度污染,PM2.5
临汾市,2016-12-06,152,中度污染,PM2.5
临汾市,2016-12-07,329,严重污染,PM2.5
临汾市,2016-12-08,376,严重污染,PM2.5
临汾市,2016-12-09,202,重度污染,PM2.5
临汾市,2016-12-10,244,重度污染,PM2.5
临汾市,2016-12-11,195,中度污染,PM2.5
临汾市,2016-12-12,322,严重污染,PM2.5
临汾市,2016-12-13,387,严重污染,PM2.5
临汾市,2016-12-14,323,严重污染,PM2.5
临汾市,2016-12-14,323,严重污染,PM2.5
临汾市,2016-12-15,316,严重污染,PM2.5
临汾市,2016-12-16,215,重度污染,PM2.5
临汾市,2016-12-17,318,严重污染,PM2.5
临汾市,2016-12-18,360,严重污染,PM2.5
临汾市,2016-12-19,433,严重污染,PM10
临汾市,2016-12-20,359,严重污染,PM2.5
临汾市,2016-12-21,209,重度污染,PM2.5
临汾市,2016-12-22,137,轻度污染,PM2.5
临汾市,2016-12-23,200,中度污染,PM2.5
